"","cited","citing"
"310","10.1073/pnas.71.10.4135","10.1002/bbpc.19770811216"
"311","10.1073/pnas.71.10.4135","10.1016/j.bpj.2014.09.038"
"312","10.1073/pnas.71.10.4135","10.1016/j.bpj.2013.04.042"
"313","10.1073/pnas.71.10.4135","10.1093/nar/gkac687"
"314","10.1073/pnas.71.10.4135","10.1103/physrevlett.131.068401"
"315","10.1073/pnas.71.10.4135","10.1039/d3cp04410f"
"316","10.1073/pnas.71.10.4135","10.1126/science.1206629"
"317","10.1073/pnas.71.10.4135","10.1126/science.3510456"
"318","10.1073/pnas.71.10.4135","10.1021/acs.biochem.9b00237"
"319","10.1073/pnas.71.10.4135","10.1021/bi00302a020"
"320","10.1073/pnas.71.10.4135","10.1103/physreve.99.060401"
"321","10.1073/pnas.71.10.4135","10.1103/physreve.99.052101"
"322","10.1073/pnas.71.10.4135","10.1103/physreve.99.022423"
"323","10.1073/pnas.71.10.4135","10.1021/jp026753k"
"324","10.1073/pnas.71.10.4135","10.1021/acschembio.9b00973"
"325","10.1073/pnas.71.10.4135","10.1016/j.bpj.2017.11.1170"
"326","10.1073/pnas.71.10.4135","10.1016/s0161-5890(02)00065-2"
"327","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)30277-6"
"328","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)34673-2"
"329","10.1073/pnas.71.10.4135","10.1074/jbc.m113.546515"
"330","10.1073/pnas.71.10.4135","10.1080/01496398208068550"
"331","10.1073/pnas.71.10.4135","10.1016/j.copbio.2013.04.008"
"332","10.1073/pnas.71.10.4135","10.1016/j.copbio.2009.08.006"
"333","10.1073/pnas.71.10.4135","10.1006/jtbi.2000.2163"
"334","10.1073/pnas.71.10.4135","10.1016/j.aam.2019.06.001"
"335","10.1073/pnas.71.10.4135","10.1038/s41467-018-03826-4"
"336","10.1073/pnas.71.10.4135","10.1093/nar/gku1370"
"337","10.1073/pnas.71.10.4135","10.1016/0014-5793(84)80617-1"
"338","10.1073/pnas.71.10.4135","10.3390/ijms21249449"
"339","10.1073/pnas.71.10.4135","10.1038/nrm2203"
"340","10.1073/pnas.71.10.4135","10.1063/1.5004793"
"341","10.1073/pnas.71.10.4135","10.3390/e21121212"
"342","10.1073/pnas.71.10.4135","10.3390/e21080743"
"343","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1002144"
"344","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1001069"
"345","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1000804"
"346","10.1073/pnas.71.10.4135","10.1371/journal.pbio.2006459"
"347","10.1073/pnas.71.10.4135","10.3934/biophy.2015.4.398"
"348","10.1073/pnas.71.10.4135","10.1109/memb.2006.1578663"
"349","10.1073/pnas.71.10.4135","10.1103/physreve.92.060101"
"350","10.1073/pnas.71.10.4135","10.1103/physreve.92.032702"
"351","10.1073/pnas.71.10.4135","10.1103/physreve.92.022716"
"352","10.1073/pnas.71.10.4135","10.1073/pnas.1610917113"
"353","10.1073/pnas.71.10.4135","10.1016/j.devcel.2019.04.031"
"354","10.1073/pnas.71.10.4135","10.1038/s41586-020-2447-x"
"355","10.1073/pnas.71.10.4135","10.1103/physreve.63.031909"
"356","10.1073/pnas.71.10.4135","10.1002/cphc.202200644"
"357","10.1073/pnas.71.10.4135","10.1021/bi00505a025"
"358","10.1073/pnas.71.10.4135","10.1103/physreve.98.012420"
"359","10.1073/pnas.71.10.4135","10.1016/j.cell.2006.05.045"
"360","10.1073/pnas.71.10.4135","10.1016/j.cell.2005.10.032"
"361","10.1073/pnas.71.10.4135","10.1016/j.cell.2005.09.034"
"362","10.1073/pnas.71.10.4135","10.1016/s0021-9258(17)33149-6"
"363","10.1073/pnas.71.10.4135","10.1016/s0021-9258(18)67064-4"
"364","10.1073/pnas.71.10.4135","10.1074/jbc.m113.544429"
"365","10.1073/pnas.71.10.4135","10.1016/s0958-1669(02)00329-4"
"366","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb02041.x"
"367","10.1073/pnas.71.10.4135","10.1038/nrm2023"
"368","10.1073/pnas.71.10.4135","10.1038/nrm1588"
"369","10.1073/pnas.71.10.4135","10.1021/ja3095558"
"370","10.1073/pnas.71.10.4135","10.3390/e20050368"
"371","10.1073/pnas.71.10.4135","10.3390/e20040306"
"372","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.0030125"
"373","10.1073/pnas.71.10.4135","10.3390/genes2040998"
"374","10.1073/pnas.71.10.4135","10.3390/biom9100588"
"375","10.1073/pnas.71.10.4135","10.1007/s11538-013-9884-8"
