"cited","citing"
"10.1021/acs.biochem.7b00375","10.1007/s12551-023-01087-0"
"10.1021/acs.biochem.7b00375","10.1021/acs.chemrev.1c00308"
"10.1021/acs.biochem.7b00375","10.1002/cbic.201900446"
"10.1021/acs.biochem.7b00375","10.1016/j.bpj.2022.02.012"
"10.1021/acs.biochem.7b00375","10.1134/s1068162023030147"
"10.1021/acs.biochem.7b00375","10.1021/acs.jpcb.8b07026"
"10.1021/acs.biochem.7b00375","10.3390/biomimetics9020121"
"10.1021/acs.biochem.7b00375","10.3390/ijms22136666"
"10.1021/acs.biochem.7b00375","10.1016/j.bpj.2019.11.014"
"10.1021/acs.biochem.7b00375","10.1016/j.bpj.2019.05.010"
"10.1021/acs.biochem.7b00375","10.1073/pnas.1800168115"
"10.1021/acs.biochem.7b00375","10.1021/acs.jctc.3c00679"
"10.1021/acs.biochem.7b00375","10.1007/s00249-019-01361-8"
"10.1021/acs.biochem.7b00375","10.1002/chem.201704802"
"10.1021/acs.biochem.7b00375","10.1098/rsob.210012"
"10.1021/acs.biochem.7b00375","10.3390/toxins11060370"
"10.1021/acs.biochem.7b00375","10.1038/s41557-020-0437-0"
"10.1021/acs.biochem.7b00375","10.3390/life10080144"
"10.1021/acs.biochem.7b00375","10.1021/acs.biochem.1c00743"
"10.1021/acs.biochem.7b00375","10.1021/acs.biochem.1c00053"
"10.1039/d1md00098e","10.3390/molecules27010151"
"10.1039/d1md00098e","10.3390/molecules28176430"
"10.1039/d1md00098e","10.1016/j.bioorg.2021.105219"
"10.1039/d1md00098e","10.1093/bioinformatics/btac486"
"10.1039/d1md00098e","10.1002/psc.3560"
"10.1039/d1md00098e","10.3390/ijms241713534"
